4800,144,48
4800,144,53
4800,144,60
4895,128,60
4895,128,53
4895,128,48
5100,144,48
5100,144,59
5195,128,59
5195,128,48
5400,144,48
5400,144,53
5400,144,60
5495,128,60
5495,128,53
5495,128,48
6400,144,50
6400,144,55
6400,144,60
6495,128,60
6495,128,55
6495,128,50
6700,144,50
6700,144,59
6795,128,59
6795,128,50
7000,144,50
7000,144,55
7000,144,60
7095,128,60
7095,128,55
7095,128,50
7800,144,48
7895,128,48
8000,144,48
8000,144,52
8000,144,60
8095,128,60
8095,128,52
8095,128,48
8300,144,48
8300,144,59
8395,128,59
8395,128,48
8600,144,48
8600,144,52
8600,144,57
8695,128,57
8695,128,52
8695,128,48
9200,144,55
9295,128,55
9400,144,53
9495,128,53
9600,144,48
9600,144,52
9600,144,55
9695,128,55
9695,128,52
9695,128,48
9900,144,48
9995,128,48
10200,144,48
10295,128,48
10600,144,52
10695,128,52
11000,144,55
11095,128,55
11200,144,48
11200,144,53
11200,144,57
11295,128,57
11295,128,53
11295,128,48
11600,144,48
11600,144,53
11695,128,53
11695,128,48
12000,144,48
12000,144,53
12095,128,53
12095,128,48
12200,144,57
12295,128,57
12400,144,48
12400,144,53
12495,128,53
12495,128,48
12600,144,60
12695,128,60
12800,144,50
12800,144,55
12800,144,62
12895,128,62
12895,128,55
12895,128,50
13200,144,50
13200,144,55
13295,128,55
13295,128,50
13600,144,50
13600,144,55
13695,128,55
13695,128,50
13800,144,60
13895,128,60
14000,144,50
14000,144,55
14095,128,55
14095,128,50
14200,144,62
14295,128,62
14400,144,52
14400,144,57
14400,144,64
14495,128,64
14495,128,57
14495,128,52
14700,144,52
14700,144,57
14795,128,57
14795,128,52
15000,144,50
15000,144,55
15095,128,55
15095,128,50
15200,144,52
15200,144,57
15295,128,57
15295,128,52
15500,144,52
15500,144,57
15595,128,57
15595,128,52
15800,144,50
15800,144,55
15895,128,55
15895,128,50
16000,144,52
16000,144,57
16095,128,57
16095,128,52
16300,144,52
16300,144,57
16395,128,57
16395,128,52
16600,144,50
16600,144,55
16695,128,55
16695,128,50
16800,144,52
16800,144,57
16895,128,57
16895,128,52
17200,144,48
17200,144,52
17200,144,55
17200,144,60
17295,128,60
17295,128,55
17295,128,52
17295,128,48
17600,144,52
17600,144,57
17695,128,57
17695,128,52
17900,144,52
17900,144,57
17995,128,57
